ID,NAME,NAME_allportdata,ABBREV,COUNTRY_CODE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATDD,LONGDD,MIN_T,MAX_T,RANGE_T,YR_MEAN_T,Salinity,Temp_Src,Sal_Src,MEOW_region,MEOW_province,MEOW_realm,FEOW_region,MEOW_Neighbors,FEOW_Neighbors,,,,,,
25,Pascagoula,Pascagoula,USA,USA,30.35,-88.5667,30.35,-88.56667,11.72,27.8,16.08,21.14,29.18,Air,Close_Sal,Northern Gulf of Mexico,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,NA,Carolinian|Floridian|Southern Gulf of Mexico|NA|NA|NA|NA|NA|NA,NA,,,,,,
26,Higham Bight,NA,NA,GBR,51.45,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
27,Eidfjord,Eidfjord,NOR,NOR,60.4667,7.0667,60.46667,7.06667,0.38,12.22,11.84,4.23,0,Air,DistIn,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
28,Marina di Carrara,Marina di Carrara,ITA,ITA,44.0397,10.0402,44.03333,10.05,7.05,23.14,16.09,14.65,37.77,Air,WOA,Western Mediterranean,Mediterranean Sea,Temperate Northern Atlantic,Italian Peninsula & Islands,Adriatic Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Alboran Sea|NA|NA|NA|NA|NA,Cantabric Coast - Languedoc|Gulf of Venice Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
29,Trondheimsfjord,NA,NA,NOR,63.5,10.4667,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern Norway,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,NA,,,,,,
30,Kristinehamn,Kristinehamn,SWE,SWE,59.3167,14.1167,59.31667,14.11667,1.03,17.84,16.81,7.56,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
31,Sri Lanka,NA,NA,LKA,7.0028,79.9805,NA,NA,NA,NA,NA,NA,NA,NA,NA,South India and Sri Lanka,West and South Indian Shelf,Western Indo-Pacific,Sri Lanka Wet Zone,Eastern India|Maldives|Western India|NA|NA|NA|NA|NA|NA,Sri Lanka Dry Zone|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
32,Queens Channel Anch.,NA,NA,GBR,51.45,1.2167,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
33,Rochester,Rochester,GBR,GBR,51.3875,0.5097,51.4,0.5,6.29,18.83,12.54,11.85,8.28,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
34,Oslebshausen,Oslebshausen,DEU,DEU,53.1333,8.7333,53.13333,8.73333,3.99,18.93,14.94,10.94,27.33,Air,Close_Sal,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
35,Principe Is.,Principe Is.,STP,STP,1.65,7.45,1.65,7.45,25.62,28.93,3.3,27.47,32.04,WOA,WOA,Gulf of Guinea Islands,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Central|Gulf of Guinea South|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
36,Bitter Lakes,NA,NA,EGY,30.3333,32.3833,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern and Central Red Sea,Red Sea and Gulf of Aden,Western Indo-Pacific,Nile Delta,Southern Red Sea|Levantine Sea|NA|NA|NA|NA|NA|NA|NA,Sinai|Dry Sahel|Lower Nile|Sahara|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
37,Rochester(NY),Rochester(NY),USA,USA,43.2833,-77.6,43.28333,-77.6,1.05,22.15,21.1,9.99,0,AVHRR,DistIn,NA,NA,NA,Laurentian Great Lakes,NA,Upper Mississippi|Teays - Old Ohio|Chesapeake Bay|Northeast US & Southeast Canada Atlantic Drainages|English - Winnipeg Lakes|Southern Hudson Bay|St.Lawrence|NA|NA|NA|NA|NA|NA|NA,,,,,,
38,Sognefjord,NA,NA,NOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
39,Harriet Harbour,NA,NA,CAN,52.3,-131.2167,NA,NA,NA,NA,NA,NA,NA,NA,NA,North American Pacific Fijordland,Cold Temperate Northeast Pacific,Temperate Northern Pacific,NA,"Gulf of Alaska|Oregon, Washington, Vancouver Coast and Shelf|Puget Trough/Georgia Basin|NA|NA|NA|NA|NA|NA",NA,,,,,,
40,River Amazon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
41,Kvellandsgrunnen Anch.,NA,NA,NOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
42,Immingham,Immingham,GBR,GBR,53.6306,-0.1902,53.63333,-0.18333,5.49,14.99,9.5,9.97,33.48,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
43,Mazatlan,Mazatlan,MEX,MEX,23.1833,-106.4333,23.18333,-106.43333,21.69,28.63,6.94,25.79,34.81,Air,WOA,Cortezian,Warm Temperate Northeast Pacific,Temperate Northern Pacific,NA,Magdalena Transition|Mexican Tropical Pacific|Southern California Bight|NA|NA|NA|NA|NA|NA,NA,,,,,,
45,Kawauchi,Kawauchi,JPN,JPN,41.1667,141,41.16667,141,4.73,21.13,16.4,12.53,33.49,WOA,WOA,Sea of Japan/East Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|East China Sea|Northeastern Honshu|Oyashio Current|Sea of Okhotsk|Yellow Sea|NA|NA|NA,NA,,,,,,
46,Iroquois Lock,NA,NA,USA,44.8333,-75.3167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St.Lawrence,NA,Northeast US & Southeast Canada Atlantic Drainages|Southern Hudson Bay|Laurentian Great Lakes|Gulf of St.Lawrence Coastal Drainages|Eastern Hudson Bay - Ungava|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
47,Providence,Providence,USA,USA,41.8056,-71.4019,41.8,-71.38333,1.95,24.02,22.07,12.04,9.73,Air,Drake_Model,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,Northeast US & Southeast Canada Atlantic Drainages,Carolinian|Gulf of Maine/Bay of Fundy|Gulf of St. Lawrence - Eastern Scotian Shelf|NA|NA|NA|NA|NA|NA,Chesapeake Bay|Laurentian Great Lakes|Scotia - Fundy|St.Lawrence|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
48,Friedrichstadt,Friedrichstadt,DEU,DEU,54.3833,9.0833,54.38333,9.08333,3.65,18.14,14.49,10.28,27.22,Air,Close_Sal,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
49,Guernsey,Guernsey,GBR,GBR,49.4553,-2.5364,49.45,-2.53333,8.61,16.19,7.57,12.31,35.12,WOA,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
50,Kozhikode,Kozhikode,IND,IND,11.2667,75.7667,11.26667,75.76667,26.62,29.22,2.6,27.76,34.15,Air,WOA,Western India,West and South Indian Shelf,Western Indo-Pacific,Western Ghats,Eastern India|Gulf of Oman|Maldives|South India and Sri Lanka|NA|NA|NA|NA|NA,Namuda - Tapi|Northern Deccan Plateau|Southern Deccan Plateau|Southeastern Ghats|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
51,Douarnenez,Douarnenez,FRA,FRA,48.1,-4.3333,48.1,-4.33333,8.84,18.63,9.79,13.29,35.14,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
52,Lahad Datu,Lahad Datu,MYS,MYS,5.0239,118.3494,5.03333,118.33333,26.77,27.66,0.89,27.2,33.61,Air,WOA,Palawan/North Borneo,Western Coral Triangle,Central Indo-Pacific,NA,Eastern Philippines|South China Sea Oceanic Islands|Sulawesi Sea/Makassar Strait|Sunda Shelf/Java Sea|NA|NA|NA|NA|NA,NA,,,,,,
53,Grundartangi,Grundartangi,ISL,ISL,64.35,-21.7833,64.35,-21.78333,1.85,11.23,9.38,5.13,24.33,Air,Drake_Model,South and West Iceland,Northern European Seas,Temperate Northern Atlantic,NA,East Greenland Shelf|Faroe Plateau|North and East Iceland|NA|NA|NA|NA|NA|NA,NA,,,,,,
54,Marzamemi,Marzamemi,ITA,ITA,36.75,15.1167,36.75,15.11667,14.64,25.33,10.69,19.33,37.9,WOA,WOA,Ionian Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Aegean Sea|Western Mediterranean|NA|NA|NA|NA,NA,,,,,,
55,Favignana,Favignana,ITA,ITA,37.9311,12.3284,37.93333,12.33333,14.62,25.39,10.77,19.23,37.41,WOA,WOA,Ionian Sea,Mediterranean Sea,Temperate Northern Atlantic,Italian Peninsula & Islands,Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Aegean Sea|Western Mediterranean|NA|NA|NA|NA,Cantabric Coast - Languedoc|Gulf of Venice Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
56,Kongsdal,Kongsdal,DNK,DNK,56.6833,10.0667,56.68333,10.06667,3.13,17.64,14.51,9.51,21.97,Air,Close_Sal,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
57,Saitozaki,Saitozaki,JPN,JPN,33.6333,130.35,33.63333,130.35,7.84,28.22,20.38,18.25,27.6,Air,Drake_Model,East China Sea,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|Sea of Japan/East Sea|South Kuroshio|Southern China|Yellow Sea|NA|NA|NA|NA,NA,,,,,,
59,Panarukan,Panarukan,IDN,IDN,-7.7,113.9333,-7.7,113.93333,27.9,29.67,1.77,28.72,33.11,WOA,WOA,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,Central & Eastern Java,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,Southern Sumatra - Western Java|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
60,Lewisporte,Lewisporte,CAN,CAN,49.25,-55.05,49.25,-55.05,-0.61,12.34,12.94,4.52,31.44,WOA,WOA,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Canadian Atlantic Islands,Gulf of St. Lawrence - Eastern Scotian Shelf|Northern Labrador|Southern Grand Banks - South Newfoundland|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
61,Douarnenez Bay,NA,NA,FRA,48.1667,-4.4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
62,Liljeholmsviken,Liljeholmsviken,SWE,SWE,59.3167,18,59.31667,18,1.66,19.22,17.56,8.65,6.48,Air,Close_Sal,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
63,Baltic USSR,NA,NA,SUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
64,Amsterdam-Rhine Canal,NA,NA,NLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
65,Port Jefferson,Port Jefferson,USA,USA,40.95,-73.0667,40.95,-73.06667,2.83,24.36,21.53,13.12,11.15,Air,Drake_Model,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,Northeast US & Southeast Canada Atlantic Drainages,Carolinian|Gulf of Maine/Bay of Fundy|Gulf of St. Lawrence - Eastern Scotian Shelf|NA|NA|NA|NA|NA|NA,Chesapeake Bay|Laurentian Great Lakes|Scotia - Fundy|St.Lawrence|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
66,Lancaster,Lancaster,GBR,GBR,54,-2.85,54,-2.85,6.29,17.44,11.15,11.33,19.84,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
67,Foveaux Strait,NA,NA,NZL,-46.6698,168.1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,South New Zealand,Southern New Zealand,Temperate Australasia,NA,Campbell Island|Central New Zealand|Snares Island|NA|NA|NA|NA|NA|NA,NA,,,,,,
68,Zackenberg,Zackenberg,GRL,GRL,74.4667,-20.6333,74.46667,-20.63333,0,5.56,5.56,0,31.67,Air,WOA,East Greenland Shelf,Arctic,Arctic,Greenland,North Greenland|West Greenland Shelf|North and East Iceland|South and West Iceland|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
69,Ras Budran Terminal,NA,NA,EGY,28.9333,33.1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern and Central Red Sea,Red Sea and Gulf of Aden,Western Indo-Pacific,NA,Southern Red Sea|Levantine Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
70,Warrenpoint,Warrenpoint,GBR,GBR,54.1014,-6.2572,54.1,-6.25,6.2,16.24,10.04,10.52,20.01,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
71,Kushimoto,Kushimoto,JPN,JPN,33.4667,135.7833,33.46667,135.78333,17.74,27.81,10.07,22.36,34.3,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
72,Gloucester(GBR),Gloucester(GBR),GBR,GBR,51.8667,-2.2167,51.86667,-2.21667,6.54,18.83,12.29,11.94,2.55,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
